id,name,contained_in,is_leaf
B2-6G2,Teige & Püree,"['B2-6', 'B2-6G']",True
B2-6G3,Basis für Süßes,"['B2-6', 'B2-6G']",True
B2-7,Süßes & Salziges,[],False
B2-71,Biskotten & Eiswaffeln,['B2-7'],True
B2-73,Müsliriegel,['B2-7'],True
B2-74,Chips & Co.,['B2-7'],False
B2-741,Chips,"['B2-7', 'B2-74']",True
B2-742,Knabbereien,"['B2-7', 'B2-74']",True
B2-743,Nüsse,"['B2-7', 'B2-74']",True
B2-744,Nachos & Dips,"['B2-7', 'B2-74']",True
B2-745,Snacks,"['B2-7', 'B2-74']",True
B2-75,Süßes,['B2-7'],False
B2-751,Feingebäck & Kekse,"['B2-7', 'B2-75']",True
B2-752,Schokoriegel,"['B2-7', 'B2-75']",True
B2-753,Schokoladentafeln,"['B2-7', 'B2-75']",True
B2-754,Schnitten & Waffeln,"['B2-7', 'B2-75']",True
B2-755,Kaugummi,"['B2-7', 'B2-75']",True
B2-756,Fruchtgummi,"['B2-7', 'B2-75']",True
B2-757,Zuckerl & Bonbons,"['B2-7', 'B2-75']",True
B2-758,Süße Spezialitäten,"['B2-7', 'B2-75']",True
B2-759,Bonbonniere & Spezialitäten,"['B2-7', 'B2-75']",True
B2-75A,Eiswaffeln & Biskotten,"['B2-7', 'B2-75']",True
B2-8,Pflege,[],False
B2-83,Deodorants,['B2-8'],True
B2-85,Pflaster & Verbandsmaterial,['B2-8'],True
B2-8B,Verhütungsmittel,['B2-8'],True
B2-8C,Fußpflege,['B2-8'],True
B2-8D,Strumpfhosen & Socken,['B2-8'],True
B2-81,Baby,['B2-8'],False
B2-811,Babypflege,"['B2-8', 'B2-81']",True
B2-812,Feuchttücher,"['B2-8', 'B2-81']",True
B2-813,Windeln,"['B2-8', 'B2-81']",True
B2-82,Damenhygiene,['B2-8'],False
B2-821,Slipeinlagen,"['B2-8', 'B2-82']",True
B2-822,Binden,"['B2-8', 'B2-82']",True
B2-823,Tampons,"['B2-8', 'B2-82']",True
B2-84,Haarpflege & Haarfarben,['B2-8'],False
B2-841,Shampoo & Balsam,"['B2-8', 'B2-84']",True
B2-842,Haarspray & Gel,"['B2-8', 'B2-84']",True
B2-843,Haarfarben,"['B2-8', 'B2-84']",True
B2-86,Haut- & Lippenpflege,['B2-8'],False
B2-861,Lippenpflege,"['B2-8', 'B2-86']",True
B2-862,Gesichtspflege,"['B2-8', 'B2-86']",True
B2-863,Hand- & Gesichtscremen,"['B2-8', 'B2-86']",True
B2-864,Bodylotion,"['B2-8', 'B2-86']",True
B2-865,Nagelpflege & Zubehör,"['B2-8', 'B2-86']",True
B2-87,Mund- & Zahnhygiene,['B2-8'],False
B2-871,Zahnbürsten & Aufsätze,"['B2-8', 'B2-87']",True
B2-872,Zahnpasten,"['B2-8', 'B2-87']",True
B2-873,Mundwasser & Kukident,"['B2-8', 'B2-87']",True
B2-874,Zahnseide & Zahnstocher,"['B2-8', 'B2-87']",True
B2-88,Rasierbedarf,['B2-8'],False
B2-881,Rasierer & Klingen,"['B2-8', 'B2-88']",True
B2-882,Enthaarungsmittel,"['B2-8', 'B2-88']",True
B2-883,Rasierschaum & -Gel,"['B2-8', 'B2-88']",True
B2-884,After Shave,"['B2-8', 'B2-88']",True
B2-89,Seife & Duschbäder,['B2-8'],False
B2-891,Duschgel,"['B2-8', 'B2-89']",True
B2-892,Duschbäder & Badezusätze,"['B2-8', 'B2-89']",True
B2-893,Seifen,"['B2-8', 'B2-89']",True
